score,comentario,opinion
5.0,buena y rapida,Opinión sobre N26
4.0,"De momento la cosa me ha bien, abrir la cuenta a sido fácil hasta que no reciba la tarjeta no ingresaré el dinero. Ya os contaré!!!!!",Opinión sobre N26
3.0,"normalita. Buena cuenta para viajar al extranjero, eso sí",Opinión sobre Cuenta N26
5.0,"Yo tengo la Cuenta N26 pero estoy pensando en contratar esta opción. Viajo con frecuencia y con esta cuenta me entran seguros de vuelo, equipaje... me sale más a cuenta que contratarlos adicionalmente...",Opinión sobre Cuenta N26 You
5.0,Una cuenta y tarjeta para autónomos gratuita... la tengo que probar,Opinión sobre Cuenta N26 Business
5.0,Muy contenta con la cobertura de los seguros que ofrece N26... recomendable si sueles viajar con frecuencia.,Opinión sobre Cuenta N26 Metal
3.0,que es lo de las subcuentas que he leido? como carpetas para destinar el dinero a otras cosas? o es otra cosa?,Opinión sobre Tarjeta de débito MasterCard N26
4.0,la solicitud se izo rapida,Opinión sobre Tarjeta de débito MasterCard N26
4.0,genial como segunda tarjeta para cuando te haces tus escapaditas fuera de espan;a,Opinión sobre Tarjeta de débito MasterCard N26
3.0,si vas a viajar a un pais que no tiene euros entonces no la veo la mejor tarjeta para viajar porq te cobra x cambio de dvisa y solo te lo quitan si pagas la tarjeta mas pro pero entre lo que pagas x la tarjeta pro y la comision q podrias pagar x divisa prefiero pagar la divisa,Opinión sobre Tarjeta de débito MasterCard N26
5.0,Descubrí esta cuenta buscando tarjetas para viajar y desde que probé su app la uso también para mi día a día. Muy recomendable.,Opinión sobre Cuenta N26
3.0,Cuidado!! Si te entra un embargo español te vavian la cuenta ellos mismos.,Opinión sobre N26
3.0,OJO! Actualmente no admiten el alta de autorizados.,Opinión sobre Cuenta N26
5.0,"Durante mi estancia en Canadá (9 meses) he utilizado la tarjeta N26. Gracias a esta tarjeta he podido realizar todas mis compras sin ninguna comisión a la hora del cambio de moneda. Además, no he tenido ningún problema, ni comisión para transferir dinero de mi cuenta de España a la N26 .Ha sido de gran utilidad y no dudaría en volverla a utilizar en mis próximos viajes.",Opinión sobre N26
1.0,"Horrible. La peor cuenta que me he hecho nunca. Me han estado cobrando sin motivo aparente, lo cual tuve que reclamarlo y me lo devolvieron. Pero si no hubiese reclamado... Cada vez que me atienden en el chat me dicen cosas distintas según lo que les interesa. Me quise quitar la cuenta hace tiempo y dijeron que tenía permanencia de un año. De repente 3 meses después resulta que puedo cancelar. Son unos ****. Decepcionante. Mi consejo; elige otra opción porque cualquier cosa es mejor seguro.",Opinión sobre N26
1.0,"Nada contento, muchos requisitos y al final he recibido un correo electrónico con una carta de rechazo. Es mi dinero y de otros que sube el valor del banco en la bolsa, deberían de buscarme ellos a mi en mi casa. Asi que, el dinero al colchón como el abuelo. Un saludo",Opinión sobre Cuenta Nómina
1.0,"me cerraron la cuenta sin motivos aparentes, me pongo en contacto con ellos a través del chat que tiene y cuando les digo lo que sucede me cierran el chat diciéndome que no me pueden ayudar! servicio atención al cliente nefasto... como banco no tengo queja, pero su forma de atender a los clientes NEFASTA",Opinión sobre N26
1.0,No pude completar la verificación en el Banco No. 26 porque la fecha de expedición no existe en mi documento NIE,Opinión sobre Cuenta N26
5.0,"muy buen banco sobre todo muy util para cuando viajas. registrate con mi codigo pablom4252 y recibe 10 € mas 10 que te doy yo al hacer el primer gasto de 20, pero conozco un metodo para no tener que gastarlos, hablame por telegram y te digo como ****",Opinión sobre N26
4.0,"He visto algunas opiniones que considero muy exageradas y alguna que no me la creo. La cuestión de las transferencias desde otras contas y que el dinero tarde en llegar a N26, eso no depende exclusivamente del banco N26, sino del banco desde el que se hace la transferencia. Doy un ejemplo, pagando 1€ extra de comisión en una transferencia desde Abanca (más lá comisión propria de transferencia), el dinero llega inmediatamente a la cuenta de N26. Por lo tanto, no culpen a este banco por la demora.",Opinión sobre N26
2.0,"De 5:retiradas en cajero me pasaron a tres sin previo aviso, además que cada vez que me llegaba un recibo y no había saldo, me cobraron tres euros de comisión.Tenía domiciliada mi nómina hasta hoy.",Opinión sobre N26
5.0,"Ningun problema y ya tengo casi un año usando sus servicios, recomendada",Opinión sobre N26
5.0,"Hasta el momento ninguna queja. Todo funciona bien y como se supone que tiene que hacerlo.Como mejora propondría poder cargar en cuenta directamente desde otra tarjeta sin % de comisión (en la primera es gratis, lo sé).Como probablemente somos muchos los que usamos la cuenta N26 para viajes y para sacar efectivo del cajero sin comisiones, poder disfrutar de la inmediatez de cargar dinero de otra tarjeta sin esperar lo que tarda una transferencia creo que daría un plus importante a la cuenta.",Opinión sobre N26
