score,comentario,opinion
1,no permite registrarse ¿?¿¿¿¿,Opinión sobre Cuenta Clara Abanca
4,m la aprobaron solo con 600 euros pero ni la nomina ni nada tengo con ellos. la verdad q bien,Opinión sobre Visa Clip
5,Tienen un nuevo proyecto . abanca Conecta. Me asignan un gestor personal solo para mí. No tengo q.pisar la oficina para nada y firmo todo desde móvil. De momento estoy encantado. Todo digital y nada de comisiones.,Opinión sobre ABANCA
3,"Como no piso las oficinas nunca (ni ganas que tengo) no me cobran comisiones, ya que lo hago todo a través de la app.",Opinión sobre Cuenta Clara Abanca
1,"Pésima atención en la oficina de Alicante ni cogen el teléfono. Deseando quitarme la hipoteca, entre otras cosas, para perder de vista esta ""entidad"" por no decir otra cosa.",Opinión sobre ABANCA
4,"Si lo podeis evitar no contrateis con esta entidada, antes o despues te acabaran cobrando comisiones. En cuanto cancele mi hipoteca con ellos cancelare todas las cuenta",Opinión sobre ABANCA
1,"Lo primero ya me tangaron los 150 euros por abrir la cuenta y domiciliar la nómina. En ese tiempo cambié de empleador y mi nómina entró 1 semana más tarde al plazo que ellos estipulan desde que abres la cuenta. Lo segundo es que se llenan la boca diciendo que puedes sacar dinero 5 veces al mes gratis en el extranjero con otras divisas, pero de gratis nada, lo que dejan de recaudar por la comisión te lo cobran inflando la tasa de cambio! ****.",Opinión sobre ABANCA
1,Cuanto menos dinero tienes mas te cobran.,Opinión sobre ABANCA
1,"El peor banco que conozco, por su trato, las grandes comisiones que cobran, las pegas que ponen de forma constante, etc",Opinión sobre ABANCA
1,"buenas tardes; esta mañana fui a una sucursal de abanca, entregue mi dni para que la empleada pudiese entrar en mi cuenta y decidimos de comun acuerdo bloquear mi tarjeta de debito. La empleada resulto ser un hacha y ni corta ni perezosa procedio a recortar el chip con toda mi informacion. Solo hubo un pequeño error , en lugar de recortar el chip de la tarjeta de debito, la inclita me recorta el chip del dni Y ahora me encuentro con que tengo mi dni invalidado y tengo que pedir cita y renovarlo",Opinión sobre ABANCA
1,"Es un desastre de entidad empezaron siendo caixa,galicia y ahora siguen igual. Me colaron un swaps que la justicia me ha dado la razón y ni así están de acuerdo. Conclusión: cuando tenga la podobilidad,se quedarán sin mi hipoteca ya que la cambiaré de banco. No tengo ni targetas ni seguros ni nada,con ellos. Me rio de su eslogan ese de que hacen las cosas con sentido. CONCLUSION, ,cuando podaís salir corriendo de esa entidad.",Opinión sobre ABANCA
3,3 estrellas,Opinión sobre Hipoteca EscogeCasa Fija
5,"Soy usuario digital de la cuenta y no me cobran comisiones. De momento, cumplen con lo prometido.",Opinión sobre Cuenta Clara Nómina
4,"Para mí las ventaja principal era lo de las retiradas en el extranjero. Aunque por culpa del coronavirus no le he sacado todo el partido que me gustaría, de momento este par de mese ha ido bien",Opinión sobre Cuenta Clara Abanca
1,Soy pensionista que cobra 800 euros al mes y me han cobrado 42 euros de mantenimiento de cuenta en junio y otros 28 de mantenimiento de tarjeta!!!en Agosto.70 euros y me cobraran otros 42 como poco en Diciembre imagino.70 euros para mi es mucho dinero y esto sin pisar una entidad desde hace 4 anos y con una tarjeta que a veces funciona y otras no.Siempre pagan los que menos tienen,Opinión sobre ABANCA
2,Soy pensionista que cobra 800 euros al mes y me han cobrado 42 euros de mantenimiento de cuenta en junio y otros 28 de mantenimiento de tarjeta!!!en Agosto.70 euros en dos meses que se supone que debo hacer?primero las preferentes y ahora esto y siempre a los que menos tenemos,Opinión sobre ABANCA
1,Después de más de 11 años como cliente y nómina domiciliada decidimos mi mujer y yo anular cuentas y tarjetas por intentar cobrarnos comisiones por CTA. Y tarjetas. De vergüenza y unilateralmente nos las quisieron imponer.,Opinión sobre ABANCA
1,"****... Mi cuenta no tiene, mantenimiento, pero cuando ingreso dinero, ( lo que sea 10, 20, 30 etc...) me lo quitan todo y dicen qie son gastos de mantenimiento.... **** a mas no poder, tu ganando el dinero como puedes y ellos te lo quitan igual.... Como pueden....**** bancos, al final como las abuelas, el dinero bajo el colchon, asi no lo tocara ningun mangante de estos....",Opinión sobre ABANCA
1,"Terrible. Comisiones por todas partes. Abrí mu cuenta y me dijeron que me saldría todo gratis, un mes después me cobran una comisión (según ellos ""por equivocación""), 10 meses más tarde cambian las condiciones y me fuerzan a domiciliar recibos ""para no cobrarme"", y ellos por supuesto ""no pueden hacer nada"", un par de meses más tarde me dicen que la única manera de tener tarjeta gratis es... Y así hasta el aburrimiento. No os acerquéis, es un **** ""por equivocación"" o ""por no poder hacer nada"".",Opinión sobre ABANCA
1,"No la contrate, me hablaron bastante mal del funcionamiento de esa entidad y desisti",Opinión sobre Cuenta Clara Nómina
3,lo de los dtos en carburante no se como activarlo. gracias,Opinión sobre Visa Clip
1,Es lo peor con lo que me he encontrado jamas en.la vida .En comisiones y en letra pequeña son unicos . Hay que ir siempre con el abogado por delante . La tarjeta Visa es la peor que he visto nunca por 400 euros de traspaso piden 16 euros de comision . Que lo sepan todo el mundo,Opinión sobre ABANCA
5,Buena elección si quieres conseguir un regalo de 150 euros para tu nómina. Hay bancos ahí fuera que en vez de pagarte te obligarán a asumir comisiones aunque tengas nómina...,Opinión sobre Cuenta Clara Nómina
5,felicisima con la targeta tiene condiciones muy buenas,Opinión sobre Visa Proyecta
1,Unos sinverguenzas no te ayudan en nada si tienes un problema te mamdan a la app y luego que llames y no solucionan nada y en las oficinas menos,Opinión sobre ABANCA
3,"No he podido ni llegar a abrir la Cuenta Clara, la que funciona por internet. En la oficina de Gijón exigen que les lleves el pago de autónomos. Ya estamos con requisitos que no se dicen en la web. En fin, ha resultado que mi asesor no los tiene, hay que pedirlos... Les digo que tengo los pagos fraccionados y no, tiene que ser autónomos no sé por qué (y ellos tampoco lo saben, creo). Me ha parecido gente que se queda en el papel, que exigen por exigir, burócratas, formalistas...",Opinión sobre ABANCA
1,"Cliente de toda la vida. Les da igual. Ahora me cobraban por mantenimiento, por la tarjeta y por transferencias. Ya cerré la cuenta.",Opinión sobre ABANCA
1,"Son unos ****, cobrando unas comisiones de mantenimiento abusivas , con mas de 20 años con ellos, pero eso no es lo peor lo mismo le cobran a mis padres con una pequeña pensión.... ****...... Ya cambiamos de banco , aunque sea engorroso",Opinión sobre ABANCA
1,"Me dijeron que me daban una segunda tarjeta gratis para siempre y en Junio de este año me cobraron 43€ por otra que ellos asociaron automáticamente a esta, la cual nunca di de alta, tan siquiera sabía que yo era responsable de ella ni la tengo de manera física. Reclame y me mandan de mi oficina a otra y así hasta rellenar un papel absurdo para reclamaciones de clientes y así quitarse de en medio todas las reclamaciones que tengan.",Opinión sobre ABANCA
1,Dejo Abanca después de 20 años con ellos. Cobro una miseria y encima me han **** delante de mis narices. No tenéis perdón. Ojalá perdáis muchos clientes,Opinión sobre ABANCA
1,Cliente de toda la vida  con nómina domiciliada y de un día para otro gastos de mantenimiento y tarjeta cada seis meses. ala m^^^da,Opinión sobre Cuenta Clara Abanca
1,"Después de muuuuuuchos años en Caixa Galicia y después Abanca he tenido que cambiar mi nómina y todos los recibos a otro Banco, cobran comisiones hasta por dar de baja la cuenta. Llamé varias veces y les importaba muy poco que me marchara, así que adiós.",Opinión sobre Cuenta Clara Nómina
1,Mal banco te cobran por dar los buenos dias,Opinión sobre ABANCA
1,"**** es lo primero que me viene a la mente al pensar en ABANCA. Después de más de 20 años como cliente decidí hace 2 darme de baja cansado de las comisiones ****. Tonto de mi accedí a hacer la banca electrónica porque me convencieron con que tenía 0 comisiones. Mi tranquilidad ha durado un año,lo que han tardado en sacarse de la manga otra triquiñuela para **** a sus clientes que son los que les dan de comer. 80€ me han **** este mes. Disfrutadlos,otro que se va",Opinión sobre ABANCA
1,Fatal todo. Comisiones desorbitadas. Me voy a dar de baja.,Opinión sobre ABANCA
1,Son unos **** como la mayoría de bancos por tener solo la hipoteca con ellos que no uso el banco para nada ya que no hay en mi localidad cerraron las oficinas me clavan 50 euros de comisiones a los 6 meses los ladrones nose porque ya que cuenta para solo hipoteca no tengo que pagarlo ya les llegará la reclamación del banco de españa,Opinión sobre ABANCA
1,Cobro abusivo de comisiones sin aviso.... ****.,Opinión sobre ABANCA
1,"Nada bueno decir de ellos, mala atención al cliente uno solucionan nada de lo que te ocurra, peleando 11 años llevo ya con ellos y visto lo visto lo que me queda, porque parece que son inmunes.",Opinión sobre ABANCA
1,Muy mal banco cobran mucha comision,Opinión sobre ABANCA
1,"Unos sinvergüenzas!!!! 78€ de comisiones sin previo aviso y dan 300 € a nuevos clientes con nómina. No os dejéis engañar son ****. Yo me voy de esta caja llamada abanca mediocre, para irme a uno de verdad. Gracias por abrirme los ojos.",Opinión sobre ABANCA
1,"Comentaros que tras poner una reclamación y solicitar la devolución de la comisión de mantenimiento en la misma, hace dos días me han abonado los 50 euros de mantenimiento. Presentar reclamaciones antes de cancelar y abrir una cuenta en otro banco. Suerte a todos. Yo por mi parte seguiré protestando para que a todos, especialmente a la gente mayor del rural le devuelvan estas comisiones.",Opinión sobre ABANCA
1,"Es la antigua Caja Galicia, que fué una de las que colocó preferentes que por supuesto no pagó. Cambió de nombre a Abanca, pero siguen siendo los mismos con distinto collar. Banco malo y caro, mejor elegir otro",Opinión sobre ABANCA
3,Abanca **** con comisiones porque el banco de España y el gobierno lo permiten.y publicidad ****.y las reclamaciones no valen para nada.,Opinión sobre ABANCA
1,"Después de 30 años, me voy.  Prefiero que me robe un extraño. Cada vez que entro en la banca electrónica, aparece el cobro de una nueva comisión, en los últimos 20 días ya van 78 €. Lo dicho, me voy.",Opinión sobre ABANCA
1,"Les pongo una estrella porque no nos deja poner ninguna. lo que ha hecho esta empresa es inaceptable. Nos han cobrado 50 euros de comisiones sin avisar de ello, y anuncian más. Me voy y ahí os dejo panda de ****. A ver cómo os quitáis la mala imagen que estáis dando, a la vista esta con todos los comentarios vertidos en esta pagina, ahhh y vuestra pésima atención en las oficinas.... no se puede ser más ****, seco y desagradable.",Opinión sobre ABANCA
1,Abanca cobra comisiones abusivas sin previo aviso a los más vulnerables.,Opinión sobre ABANCA
1,Comisiones abusivas.pésima atención al cliente.Despues de muchos años cambio de banco.,Opinión sobre ABANCA
1,Tantos años como cliente y ahora resulta q nos cobran 50 euros de mantenimiento dicen? Mantenimiento de que? Y encima la muy **** de la oficina se rie de mi cuando le digo q no quiero pagar comisiones....considero un gravisimo error reirse de los clientes....y ojala todo el mundo cierre sus cuentas por cobrar esta comisión... verías tu como reculan....por la falta de respeto que me han hecho no volveré jamás a esta **** de banco... será por bancos vamos,Opinión sobre ABANCA
1,"La atención en oficina es pésima, se ríen de los clientes.. Cobran comisiones abusivas e **** por todo. Primero te venden una cuenta 0 comisiones y después se inflan a cobrartelas..",Opinión sobre ABANCA
1,Rescatado con dinero público+Aprovechándose de la gente más vulnerable. Comisiones aparte. Brutal.,Opinión sobre ABANCA
1,"Mal servicio en oficina como por la APP  , comisiones por apunte en libreta .por recibos, por tarjetas, por transferencias ,por todo",Opinión sobre ABANCA
1,Después de un montón de años cambian las condiciones y me cobran 50 euros en comisiones. Bye Bye Abanca,Opinión sobre ABANCA
1,"La peor **** que te puedes vestir en cuanto a bancos se refiere. La atención penosa. Mucho paripé y mucha ostia, y el otro día llamé preguntando por la famosa comisión de los 28 euros por tarjeta Visa, que va englobada supuestamente en la tarjeta de débito, y por las otras comisiones que se sacan de la manga porque les sale ****, y a la ""individua"" esa que tienen ahí (por llamarle de alguna manera), lo único que se le ocurre es reírse de mi. Esto es una falta muy muy grave. Penoso",Opinión sobre ABANCA
1,"nada recomendable;clienta de toda la vida y ahora me cobraron este mes 50 €de comisión de mantenimiento,6,60 € de comisión de administración,por quitar dinero con tarjeta 28€y por un traspaso online 27€,eso en este mes de Julio.",Opinión sobre ABANCA
1,Muy mal....después de 30 años me voy,Opinión sobre ABANCA
1,"Si quieres pagar comisiones , este es tu banco.",Opinión sobre ABANCA
1,"De clara nada, y las comisiónes te las cobran cada 6 meses 50€, 100 al año. Menuda ****.",Opinión sobre Cuenta Clara Abanca
1,"Mi opinion despues de 15 años es que ellos con solo enviarte un mensaje al correo ya tienen licencia para ROBAR, deciden pasar cuentas sin comisiones a con comision, con solo enviar un email se creen con derecho cobrar lo que les de la gana , ****... , no solo eso despues por llamarles para saber que pasa me cobran en las llamadas ****+, no vuelvo ni loco ni lo recomiendo, os voy a poner en las redes mal no lo siguiente... un saludo ya me habeis visto.",Opinión sobre ABANCA
1,"unos **** os,ya que nos obligan a cobrar nuestros sueldos y pensiones via bancaria y a pagar los recibos de la misma forma me parece una ****",Opinión sobre ABANCA
1,Abusan y muerden la mano de los millones de clientes que les dan de comer a base de sablazos con comisiones que no saben ni explicar a caso de que te las cobran.,Opinión sobre ABANCA
1,"Lo de Abancame parece lametable son unos aunténticos a**** y **** constantemente a la gente...por cierto hoy se le caído la Web espero que tenga la deferencia de abonar la parte proporcional del mantenimiento que nos han retirado de la cuenta.no he podido realizar una transferencia, espero impaciente su contestación.",Opinión sobre ABANCA
1,"Mi experiencia horrible, una hipoteca, un seguro de hogar, la nomina, una tarjeta con una media de 700€ de gasto al mes, una cuenta sin cartilla(electrónica), ningún recibo domiciliado, y me cobran 42 euros de mantenimiento y 28 de tarjeta, no tienen vergüenza y después te dicen que si no quieres que te vayas con una hipoteca pueden hacer esto. ES UN ABUSO.",Opinión sobre ABANCA
