opinion,user_description,review
Opinión sobre Tarjeta Antes,He recargado la tarjeta y ha desaparecido el dinero!!!!! No sale ni en la tarjeta ni en la cuenta,1.0
Opinión sobre BBVA,"El peor banco que puedes conseguir, ninguna plataforma funciona. Ni la pagina web, ni las aplicaciones del celular. En plena pandemia se ufanan de tener herramientas sofisticadas y sin embargo te envían al banco a hacer transacciones en plena pandemia. Las líneas de atención telefonicas, inexistentes, nunca te contestan. Y el asesor virtual de la pagina es un robot con respuestas automaticas que no solucionan nada.",1.0
Opinión sobre BBVA,"Yo no lo recomiendo, me cobraron una comisión sin decírmelo ni asesorarme y no me la devuelven. Voy a cerrar todas mis cuentas",1.0
Opinión sobre Cuenta Online Sin Comisiones,"A los 2 meses me **** la madrugada del 18 Agosto,sin tocar el smartphone , ninguna aplicación está asegurada , hackers o quienes fueran entraron y saquearon mi cuenta bancaria online BBVA",1.0
Opinión sobre Tarjeta Antes,"Desaparece el dinero sin ninguna operación, el dinero un dia esta y al siguiente no, y no aparece ningún movimiento",1.0
Opinión sobre Cuenta Online para Jóvenes BBVA,"Me aperture esta cuenta ""sin comisiones"" luego me la cambiaron sin avisar a otro producto con comisiones y no quieren devolverme el dinero que me cobraron indebidamente.",1.0
Opinión sobre BBVA,"Cuenta Online
Facil de abrir la cuenta. La app con todo lo premiada que ha sido, tengo que decir que la apariencia es poco seria y no puedes operar si eres autorizado, solo el titular. Esto no sucede con Bankia, Santander y EVO, que son las app que conozco. Una lastima.
Por lo demas bien, de momento.",4.0
Opinión sobre BBVA,Unos **** a la minima te cobran comisiones y no te molestes en reclamrñar que esta perdido. Mucho marketing y mucha palabreria pero son los mismo l**** de simepre. Ademas en las oficinas se limpian las manos y te ponen pegas para cualquier gestion. Noda recomedable abrir una vuenta con ellos.,1.0
Opinión sobre BBVA,Todo iba de maravilla hasta que actualice a la ultima version de la app. No estoy seguro pero creo que ese es el fallo.,2.0
Opinión sobre Cuenta Online Sin Comisiones,alta rápida en escasos minutos a través de la app,5.0
Opinión sobre BBVA,"Es el peor banco que haya conocido, me retuvieron un cheque que es de su propio banco, no puedo disponer de ese dinero porque lo están validando, jamás me había pasado con otro bancos. Retienen tu dinero porque se les pega la gana. ****",1.0
Opinión sobre BBVA,Sigue no funcionando después de la última actualización de Android. Mal.,1.0
Opinión sobre Oficina 0565 en Llíria,Malisima atención en mesa 5 para información sobre hipotecas.,1.0
Opinión sobre BBVA,"La verdad es que es una vergüenza incluso antes de comenzar a ser clientes. un error en su propia aplicación web con un ""Error desconocido"". Sistema de atención al cliente bastante borde, al menos los asociados al servicio de ""Te llamamos"". Si quieres dar de baja tus datos no puedes (incluso si aun no eres cliente) por que se debe de realizar de ""otra manera"". Vamos, mediante correo postal y ya de ultimas consigo que me den un email... En definitiva, una banca Online con errores online...",1.0
Opinión sobre Oficina 1264 en Madrid,"Agobiantes para ofrecer ""productos"" por email y por teléfono.
Nada serviciales cuando es necesario, te lo tienes que hacer todo.
Poquísimo simpáticos cuando no ""compras nada"".
Muy, muy dadas a colgar el teléfono cuando se quedan sin argumentos.",1.0
Opinión sobre BBVA,"No lo recomendaría aunque me pagarán ellos mismos. Llevo 8 días esperando a que me den cita en la oficina BBVA de San José de la Rinconada (Sevilla) para cerrar mi cuenta, ya que tengo un seguro de vida y la que trabaja en caja dice que ella no puede cerrar mi cuenta que tiene que ser un gestor, cosa que cuando llamo por teléfono me dicen que es mentira que si pueden, llevo bastante tiempo sin utilizar esa cuenta por eso quiero cerrarla, y hoy me cobráis 40€ de comisión, avergonzante lo que hace",1.0
Opinión sobre BBVA,"Sin **** me bloquearon la cuenta sin avisar, me dejaron sin un duro y las comisiones un abuso. Me e cambiado de banco",1.0
Opinión sobre Cuenta Online Sin Comisiones,"A mi me resultó facil hoy contratar la bbva online sin comision aunque en informatica no soy un máquina ni mucho menos, y en menos tiempo que haber ido a una oficina, solo en encontrar aparcamiento hubiera tardado mas. Me voy de la Caixa porque se están pasando tres pueblos con las comisiones, primero por las de la tarjeta y ahora por tener una cuenta,  lo han hecho de manera descarada aumentandolas cada año según se les antojaba, y el próximo 1 de Octubre le van a dar otro aumento.",5.0
Opinión sobre BBVA,Cambié las cuentas a la oficina de Madrid 2087( BBVA) hace unos meses. La valoración no puede ser mas que muy positiva en todos los sentidos. Y sobre todo la capacidad y profesionalidad de la gestora que me asignaron. Con personas así es fácil captar clientes.,5.0
Opinión sobre BBVA,"Lamentable. Llevo 6 meses para que me solucionen un problema y la respuesta siempre es la misma: ""pasaremos nota al gestor"". Me puesto en contacro más de 10 veces con ellos y la única vez que el gestor se puso en contacto conmigo no supo darme solución. Hasta el día de hoy sigo sin novedad. En cuanto pueda me cambio de entidad.",1.0
Opinión sobre BBVA,"La oficina de la Garriga tiene un solo cajero con un horario limitado de pocas horas.
Para hacer una gestion he tenido que ir tres veces.
La cola para ser atendido ha durado entre media y una hora.",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Vergüenza. Llevo dos meses con la cuenta abierta esperando a que me llegue la tarjeta, me han enviado ya 4 y ninguna llega y me dicen que no hay otra forma de facilitarme tarjeta. Además de malas maneras. Finalmente cierro la cuenta proque es tiempo tirado a la basura",1.0
Opinión sobre Cuenta Negocios de BBVA,"Llevo 2 años siendo cliente de BBVA y es un desastre total, el sistema NetCash (para operar por internet) es complicado, cada vez que necesito algo tengo que llamar al agente y tarda 4-5 días en responder.",1.0
Opinión sobre BBVA,Yo llevo muchos años en el BBVA y estoy contento nunca me han contado comisiones por tarjetas no por transferencias,5.0
Opinión sobre BBVA,El BBVA es un a **** de banco en todo sentido. Intentando abrir una cuenta con mi dinero y solo ponen trabas. Metan se el banco por el ****,1.0
Opinión sobre Cuenta Online Sin Comisiones,le abri en pocos minutos,4.0
Opinión sobre Hipoteca Fija,no hagan caso de los comentarios la hipoteca esta muy bien y el personal es atento y te ayuda en todo momento,4.0
Opinión sobre Hipoteca Fija,"Seguro de vida muy caro, no vale la pena",2.0
Opinión sobre BBVA,Servicio atención al clientes deplorable. Solo una persona para atender. Colas de mas de 1 hora en ser atendido. Importa el tiempo de los demas pero de los clientes NO! 5 meses libres ! Anda que bien vamos .....,1.0
Opinión sobre BBVA,"13:05 Acompañó a mi madre de 78 años ha ingresar cheque de notaria venta de su vivienda y me dicen en BBVA que hasta mañana nada, el servicio es hasta las 11:00. Que pena de BBVA si fuese yo ingreso y me lo llevo a otro banco. Una vergüenza",1.0
Opinión sobre BBVA,"Se les ha ido la olla este 2020. Yo cumplo 30 años este año y paso de 0 comisiones a 100€ año si no cumplo los requisitos entre ellos X ingresos trimestre k mes. En verano no he podido ingresar 2 meses y ahora sorpresa.. un ****. Antes desde la app hacía todo gratis, ahora cobran 2€ por certificado que necesites!! ****. Me cambio ya",2.0
Opinión sobre BBVA,"Es el pero Banco!!!! Totalmente ineficientes , irresponsables , incapaces de manejar transacciones internacionales. Envio dinero desde un Banco de Estados Unidos ( super eficientes y total honestidad) . Este banco inescrupoloso, toma una Buena tajada del dinero en cada envoi o transferencia, totalmente inaceptable , retienen el dinero por semanas y le hacen llenar un enorme formulario a la persona. no recomiendo este banco para la gente en colombia, tienen"" 0"" en calificacion, deshonestos.",1.0
