score,comentario,opinion
1.0,"Despues de mas de un año de uso, me bloquean la cuenta por fraude. Se han quedado con 15 pavos que tengo. Me han pedido foto selfie con NIF que se la he enviado. Y eso que es la cuenta no-nomina, sin vinculación y solo la uso para pagar 1 recibo mensual. Nunca a habido descubierto ni nada. No recomiendo para nada el grupo Santander. ****.",Opinión sobre Openbank
1.0,"Llevo 20 días intentando abrir una cuenta, sin éxito, desde hace dos semanas han confirmado que han recibido toda la documentación pero la cuenta no está activa. Me di por vencido",Opinión sobre Openbank
1.0,"He intentado darme de alta. Al rellenar los datos del segundo titular (interviniente) se bloquea. Hablo con ellos 3 veces por teléfono, la única propuesta es eliminar el registro de alta y empezar de nuevo en tres días. Por mail no me devuelven la consulta. Cualquier sistema puede fallar por supuesto, pero lo que diferencia una buena empresa de una mala es la atención y competencia para solucionar los problemas, experiencia de cliente muy mala, no seguiré con el alta. Alternativa???Huyendo Caixa",Opinión sobre Openbank
5.0,tengo la cuenta y ahora voy a domiciliar mi pension,Opinión sobre Openbank
1.0,Un desastre para darse de alta. Más de 2 meses para activar 3 cuentas. No lo recomiendo en absoluto!!,Opinión sobre Openbank
5.0,Muy buen banco,Opinión sobre Hipoteca Open Variable
4.0,Imagino que no seré el primero en huir de Bankia y CaixaBank en venir aquí. La cuenta la verdad es que bien por ahora.,Opinión sobre Cuenta Nómina Open
5.0,"la cuenta funciona bien y la aplicación es sencilla. El envío de la tarjeta está siendo algo lento, eso sí",Opinión sobre Cuenta Corriente Open
1.0,"Una ****, no paran de ponerme pegas, un montón de veces enviarles la misma documentación, será que les gusta que les repitan las cosas... Una pérdida de tiempo sin duda el tener que estar continuamente enviandoles la documentación y los datos para crear la cuenta.",Opinión sobre Openbank
1.0,"Malo no lo siguiente. Auténticos ****. Me hice de Openbank por la comodidad de ser una banca Online. Después de muchos sin sabores con ellos, es que me quitaron (robaron mejor dicho) una cantidad de 50,60€ por un pago inexistente....de verdad , no se lo recomiendo ni a mí peor enemigo.",Opinión sobre Openbank
1.0,"Mi mujer y yo somos de Rusia, tenemos residencia en España, intentamos activar la cuenta en Openbank desde el día 1 de septiembre, todo sin resultado, soporte incompetente, piden los documentos, y luego los denegan, llaman otra vez y piden lo mismo. También piden documentación inadecuada, cada vez inventan nuevos requisitos etc etc. Creo que especialmente no abren cuentas para ciudadanos de Rusia. No es “Openbank”. Es “Zhopenbank” que traduce del ruso como ****",Opinión sobre Openbank
1.0,"Péima atención, información confusa y gestión lamentable. Llevo 15 dias intentando abrir una cuenta con varios titulares. Llaman a uno para pedir documentación de otros. Entregas la documentación que piden y a la semana te dicen que no es correcta. Transfefencias en el aire que no aparecen. Horrible experiencia. No lo recomiendo a nadie, de hecho lincluso la vamos a anular antes de que la activen.",Opinión sobre Openbank
5.0,Está muy bien para aprovecharte de tu nómina... un banco te quita comisiones si la tienes y Openbank te paga además si la traes. Yo encantado.,Opinión sobre Cuenta de Ahorro Bienvenida con Nómina
1.0,Pésima atención telefónica. En inversiones son incluso antipáticos y ariscos. No solo no te ayudan sino que también contestan de malas maneras y te tratan como si fueses idiota. Mi cuenta de ahorros y mis inversiones se van para otro banco tan pronto venda las acciones!! Chao,Opinión sobre Openbank
4.0,Buen producto con el respaldo de Banco Santander. La atención telefónica deja mucho que desear. No podía ser todo de color de rosa..,Opinión sobre Cuenta Ahorro Bienvenida
5.0,tengo mi nómina en openbank y todo funciona perfectamente. Me abrí la cuenta cuando sacaron una promo y me llevé 100 euros. Muy contento.,Opinión sobre Cuenta Nómina Open
4.0,la descripción es acorde a lo prometido,Opinión sobre Cuenta Corriente Open
1.0,"Siempre pensé que el k hablaba mal de un banco era porque le denegaban préstamos, no tenía una buena posición y en realidad el banco tenía la razón. Lo que me ha pasado con Openbank es MAYUSCULO, tengo las cuentas bloqueadas por no tener justificación de transferencias recibidas ( de bet365 y cantidades pequeñas), me parece bien k no quieran recibirlas si es su criterio, peroo me han bloqueado mis saldos, tengo aparte fondos y valores, acciones del Sabadell k están subiendo y no puedo vender.",Opinión sobre Openbank
1.0,Es un desastre de banca online. Todo son impedimentos a poder operar con normalidad. Y la ayuda por teléfono nula,Opinión sobre Openbank
4.0,los dtos q tienen estan muy bien y son tiendas q yo voy asi q los puedo aprovechar pero q los tenga q pedir cada vez m molesta un poco porq no se ponen automaticos,Opinión sobre Tarjeta de crédito Open Credit
5.0,siendo reacia a tener una tarjeta de credito e de decir que por ahora estoy contenta eso si todo se paga a fin de mes nada de aplazar,Opinión sobre Tarjeta de crédito Open Credit
5.0,yo lo pedir porque lo tengo precnocedido que es menos de lo que pone ahi pero es que se pide en un plisplas de na porque todo por la app y super sensillo,Opinión sobre Préstamo Personal Openbank
4.0,"Aunque me han mareado un poco con el papeleo, ame gusta la app, es muy intuitiva",Opinión sobre Cuenta Corriente Open
5.0,obtuve el regalo de 80 euros por domiciliar la nómina sin problemas. La cuenta cumple con lo esperado y no me cobran comisiones.,Opinión sobre Cuenta Nómina Open
5.0,"Abrí la cuenta cuando ofrecían una promo de 40 euros. Aunque la apertura no fue todo lo ágil que esperaba, he podido abrir la cuenta y recibir mi regalo. De momento, la recomiendo.",Opinión sobre Cuenta Corriente Open
1.0,"cliente hace 10 años: cuenta nómina, cuenta de ahorro y cuenta con mi hijo, estudiante. Saldo siempre positivo. Solo he intentado hacer un trámite una vez, hace ahora 9 meses: poner como interviniente a mi hijo (cliente ya y mayor de edad) En la cuenta de ahorro. Me han mareado, haciéndome llamar muchas veces, enviar papeles firmados, DNIs, dándome información contradictoria cada vez para este simple trámite. He puesto tres reclamaciones y aún no me han respondido a ninguna. No lo recomiendo",Opinión sobre Openbank
4.0,bien con esta tarjeta. ademas le dedico tiempo a mirar las ofertas y descuentos que tienen que siempre tienen algo y como lo tengo en cuenta pues voy cogiendo descuentillos y esas cosas. la tarjeta en si es normalita y funciona bien,Opinión sobre Tarjeta de débito Open Debit
5.0,"Estoy muy contenta con ellos ,te asesoran muy bien con buena actitud i cuando los llamas por tlf te contestan rapidamente.""sin,problemas por el momento"".",Opinión sobre Openbank
1.0,"Para poder contratarla tienes que contratar al mismo tiempo la cuenta nómina y la cuenta ahorro (en el mismo pack) por que si lo haces por separado, primero la nómina, no te deja contratar este producto.",Opinión sobre Cuenta de Ahorro Bienvenida con Nómina
1.0,"todo mentira, Solicite hipoteca ,tras 3 semanas de demora y pedirme un millon de documentación, me dicen que me la conceden.A los 2 dias me llama la gestora y que solo un 50%.Lamentable la informalidad, despues de que llamara a otros bancos diciendo que no pues ya la tenía concedida.. Y no es por un tema de riesgos,dado que mi endeudamiento no suponia ni el 20%, con trabajos fijos mas de 20 , lo que mas me molesto es que te digan que si y luego que no.Hay muchos mas bancos y tan o mas competitiv",Opinión sobre Hipoteca Open Variable
1.0,Decepcionante!!! Pueden hacer co Tu dinero lo que quieran!!!!Me han bloqueado las cuentas sin justificion alguna. Estoy desesperada... Pero los denunciaré una y otra vez,Opinión sobre Openbank
1.0,"Después de realizar el proceso de alta y de hacerme perder el tiempo por videollamada, me dicen que no es posible continuar el alta. Simplemente un desastre. Nada recomendable. Lo de siempre, no les importa el cliente.",Opinión sobre Openbank
1.0,"Me han dejado sin vacaciones, no les importa lo mas mínimo el cliente, y por eso se adueñan de sus sueldos todo el fin de semana.Todos los bancos han pagado a mis compañeros y estos señores deciden que cobre el 3 de Agosto.Con lo cual , no puedo ir ni de vacaciones ni a comprar nada.Ellos no trabajan! Es fiesta!' Es Agosto!!!Pero evidentemente Sólo para ellos!!!!Seguro que los empleados y los De Arriba si tienen ingresado su sueldo.",Opinión sobre Openbank
1.0,"Incapaces e ****, llevo esperando 1 mes y medio la activación de una cuenta online. En Bankia lo he hecho en menos de 24h",Opinión sobre Openbank
1.0,En los cajeros del Santander  cobran 0.60 si eres de Openbank,Opinión sobre Openbank
3.0,"Después de mandar toda la documentación, tardaron 3 semanas en decir que no se puede financiar el 80% de la hipoteca ya que el departamento de riesgo hace el cálculo {(sueldo neto mensual) X 12} X 5 y ESO será el máximo que puedes financiarno tienen en cuenta lo que tienes en tu banco (en mi caso pedía el 80% de una casa por 136k teniendo 55k en el banco)lástima que la nómina es el único criterio para ellos",Opinión sobre Hipoteca Open Fija
1.0,Despues de mas de 20 dias aun continuo esperando a que me envien la tarjeta dicen que hay incidencia en el sistema la apertura de mi cuenta aun no esta abierta cada vez me dan largas esto es un desastre no funcionan como dicen y cada vez te atiende un gestor diferente y a volver a explicarles el processo lamentabe,Opinión sobre Openbank
1.0,"Los 80 euros + el 5% etc...no es real. Llame al banco para abrir la cuenta, pero eran o los 80 euros o el 5% 1/2 año...",Opinión sobre Cuenta Nómina Open
1.0,"Tras 3 semanas esperando una contestación y de enviar varias veces documentación que solicitaban. Tras años con ellos con mi nómina en su banco. Acabo de llamar y me comentan que está denegada el cambio de hipoteca de mi banco actual a ellos. Tiempo perdido, no los recomiendo a nadie para el tema de hipotecas.",Opinión sobre Hipoteca Open Variable
5.0,Pata negra de banco y recomendable 100%.,Opinión sobre Openbank
1.0,"Sinceramente doy una estrella porque es lo mínimo que puedo, mi experiencia con Openbank es un desastre.Desde febrero me están domiciliando la pensión y llevo intentando que me den claves de acceso y tarjeta para poder operar y aún no lo he conseguido, te dan muy buenas palabras por teléfono pero después hacen lo que quieren.Esta es mi experiencia y sigue sin resolverse.",Opinión sobre Openbank
1.0,"0,20% por 1 año es una vergüenza. Para eso mejor Facto o Raisin, que tiene depósitos por incluso más de un 1% por ese mismo tiempo o incluso menos,",Opinión sobre Depósito Open 13 meses
1.0,"Es una ****. Despues 30dias recibi mi clave de firma. No puedo utilizarlo porque seguro hay otros en camino ( me llamo 3 veces a Openbank, porque aviso era llama si no has recibido en 2 dias habiles.) Operadora fatal, ella no me creyo.",Opinión sobre Openbank
5.0,"Yo hace unos 8 meses que tengo la cuenta, muy recomendada, rápido de abrirla, la verdad que muy contento.",Opinión sobre Openbank
1.0,"Tras darme de baja mi tarjeta por error una trabajadora de Openbank, no me solucionan el problema, me dicen que en tres días me envían un duplicado por mensajero y han pasado cinco días y sigo sin recibirla, he llamado y que llámen próxima semana... Nefasta gestión y no dan solución a los problemas. Muy mal.",Opinión sobre Openbank
4.0,"Aunque el alta fue algo algo lenta, por todo lo demás genial. La devolución de recibos funciona, de modo que cumple con lo esperado.",Opinión sobre Cuenta Nómina Open
1.0,"Buen dia, tengo desde hace mas de 20 dias solicitando la apertura de la cuenta y cada vez es mas incoherente la respuesta cuando responden y cada dptto pide el mismo documento ya anexado, no tienen continuidad de informacion entre ellos mismos. No cumplen con su publicidad solicite una hoja de reclamacion y nada, ignoran o hacen caso omiso a los mismos decretos emitidos por el estado de España exigiendo documentos de residencia que estan en vigor por decreto ellos piden justificacion.****",Opinión sobre Openbank
1.0,"¡El peor banco del mundo! Desde abril, no puedo activar mi cuenta en línea. Cada vez, algunos nuevos requisitos y razones. ¡Cierro la cuenta y no recomiendo esta **** a nadie!",Opinión sobre Openbank
4.0,una cuota de 200 euros menos al cambiar de banco y te atienden rapido y resuelven las dudas en poco tiempo. Fiable,Opinión sobre Trae tu Hipoteca Mixta
4.0,"Cuenta activada en una semana sin problemas.Hice un traspaso de mi plan de pensiones a openbank, para beneficiarme de una promo.Tardó casi un mes en llegar a openbank,según ellos por culpa de la gestora del plan. Prometieron llamarme tan pronto llegara el dinero del plan de pensiones.Todavía estoy esperando a que me llamen. Ahora queda por ver si cumplen con las promociones en las que estoy apuntado, una de ellas la del traspaso del plan de pensiones. Ya informaré, tanto para bien como para mal.",Opinión sobre Openbank
4.0,Ok,Opinión sobre Crédito Protección de descubierto
5.0,En 30 minutos tenía activa mi cuenta Openbank,Opinión sobre Openbank
1.0,"Se supone que es una cuenta online que debería ser todo sencillo, pero el proceso de alta es muy lento y con fallos. Nada recomendable",Opinión sobre Openbank
1.0,"Inicié el trámite de mi cuenta el 25 de enero de 2020, me llegó la tarjeta 40 días después (habiendo hecho más de 10 llamadas, cada una de aproximadamente 30 minutos) con la tarjeta solo pude hacer 1 pago, después de ese pago la banda magnética no funcionó más, después intenté hacer una transferencia y no pude, me puse en contacto con ellos y me dijeron que en 24 horas me daban respuesta, tuve que volver a llamar, y así pasaron 4 días para que me dieran solución. No los recomiendo para nada.",Opinión sobre Openbank
1.0,"4 Meses para activar la cuenta, y después de 1 mes de uso la tarjeta dicen que la banda no va que debo pedir otra. La aplicación ha dado muchísimos problemas y la web ni te digo. Son lo peor!!! Me voy a N26 o alguna parecida",Opinión sobre Openbank
1.0,"Imposible activar una cuenta en 2 semanas, cada operador cuenta una historia diferente, menuda perdida de tiempo, siento que me han tomado el pelo.",Opinión sobre Cuenta Corriente Open
