score,comentario,opinion
3.0,Me largo del banco,Opinión sobre Cuenta Santander One
1.0,"Me parece una poca vergüenza lo que pretende hacer el Banco Santander con la cuenta One, cambiando unilateralmente las condiciones de la cta 123, obligándote a contratar servicios que no necesitas o penalizándote todos los meses. Esa es la forma que tiene el Santander de apoyar a sus clientes en tiempos de crisis, cobrando comisiones. Eso sí, desde el banco te dicen que es su propuesta de valor (cobrar comisiones). Totalmente impresentables.",Opinión sobre Santander
4.0,la Zero entrara dentro de lo nuevo de santander one? van aparte? o es que todo esta dentro del plan,Opinión sobre Tarjeta de crédito Zero
1.0,"Palabras malsonantes? cobrar 3 dias de paro en una cuenta que no tiene movimientos y cobrarme 30 de comisión, a eso como le llamamos entonces?",Opinión sobre Santander
1.0,"Si hubiera un buen trato me hubiera quedado. Las comisiones de mantenimiento tambien me parecen exageradas. Muy mal trato al cliente! Al preguntar como me puedo dar de baja me dijo un empleado de la oficina: ""que quieres""? ..me da hasta risa de lo lamentable que es vuestro trato con el cliente. Luego pase por la ventanilla y me pidieron 45 e para gastos de mantenimiento..no cobrados. Al preguntar por que no se cobro me dijo la señora que estaba ahí que ella no tenia tiempo de explicarme nada.",Opinión sobre Santander
3.0,Es un banco que no tiene seguridad y tiene poca seriedad ala hora de reclamar algo,Opinión sobre Santander
1.0,"No se puede ingresar en el cajero mas de 1.000 €, y la caja cierra a las 11 del mediodía. Solución, ingresar en otro banco. Dos semanas esperando (y sigo) para que me den respuesta a un préstamo que he solicitado Llaman de la oficina para ofrecer seguro de coche, sin saber que coberturas tengo, pero más barato que lo que han visto que pago etc...",Opinión sobre Santander
4.0,Si no te vinculas te crujen. Yo tengo la hipoteca y me salvó. Lo de Iberia no suena mal del todo,Opinión sobre Cuenta Santander One
1.0,No me gusta. comisiones y requisitos por doquier.,Opinión sobre Cuenta Santander One
1.0,"Cobran 12 euros al mes, por comision de mantenimiento, un ****.",Opinión sobre Cuenta Zero
1.0,Atención al cliente en oficina nefasto.Doy una estrella porque no puedo dar menos una,Opinión sobre Cuenta 1|2|3
1.0,"Quise abonar en mi cuenta 1,2,3 un talón bancario de otra entidad, de unos 5.000 €, el cargo en la oficina de Miajadas (Cáceres), de haberlo hecho, el 5%. La misma operación en Getafe (Madrid) el 0,3%.¿Porqué?",Opinión sobre Santander
1.0,"La  peor tarjeta de nómina, no permite hacer ningún tipo de pago con la tarjeta solo sacar dinero por cajero directamente, si uno tiene una emergencia debe ir primero a un cajero pues será rechazada en lugares como farmacias u Oxxo, si tienen la opción de elegir su banco les recomiendo NO pensar en este banco pues si tu tarjeta faya no podrás hacer retiros en ventanilla, el mínimo que piden es de 9 mil si es menor la cantidad no te dejarán ni pasar a la sucursal",Opinión sobre Santander
